# Aurora Studio — реестр команд. Единственный источник правды о том, что вообще есть.
# `kit:list` (scripts/kit_commands.py) читает этот файл, а модификаторы берёт живьём из
# самих скриптов (`--help`) — чтобы список флагов не расходился с кодом.
#
# Формат:  неймспейс | команда | алиасы | исполнитель | реализация | с версии | что делает
# Исполнитель: скрипт — детерминированная механика; модель — работа со смыслом;
#              скрипт+модель — скрипт готовит и считает, решение принимает человек/модель.
# Реализация: имя файла в .opencode/scripts/ (можно с фиксированными флагами) либо
#              файл справки в .opencode/skills/aurora-vault/references/.

kit | kit:doctor | doctor | скрипт | aurora_doctor.py | 1.0.0 | готовность проекта: config, скиллы, секреты в git, версия движка, структура папок; `--structure` — подробно по папкам вне схемы
kit | kit:hooks | — | скрипт | aurora_hooks.py | 1.3.0 | git-хуки: pre-commit с линтером и храповиком (ошибки не растут) и commit-msg — внутренние названия не уходят в историю
kit | kit:remap-sources | remap | скрипт | kb_remap.py | 1.7.0 | перенацелить `source:` карточек после переезда зеркала (Confluence — по page_id, Jira — по ключу задачи)
kit | kit:update | — | скрипт | aurora_update.py | 1.3.0 | обновить движок в проекте до версии kit; `--structure-only` — только папки схемы
kit | kit:skills | — | скрипт | install_skills.py | 1.54.0 | скиллы Авроры в общий каталог агента (~/.claude/skills): без этого /aurora-vault и /aurora-dev не находятся ни в одном диалоге
kit | kit:mcp | mcp | скрипт | aurora_mcp.py --selftest | 1.66.0 | база знаний как инструмент любого ассистента: проверка сервера и готовая строка подключения; сервер только читает — писать в базу через MCP нельзя
kit | kit:list | — | скрипт | kit_commands.py | 1.9.8 | этот справочник: команды, модификаторы, чем исполняются, с какой версии

sync | sync:sources | sources | скрипт | sources_registry.py | 1.28.0 | модули источников: что установлено и какие зеркала подключены к проекту
sync | sync:confluence | — | скрипт | confluence_export.py | 1.6.0 | детерминированное зеркало Confluence → Sources/Confluence/ (модуль confluence-dc)
sync | sync:jira | — | скрипт | jira_export.py | 1.9.0 | детерминированное зеркало Jira → Sources/JIRA/ (модуль jira-dc)
sync | sync:audit | audit | скрипт | sync_audit.py | 1.3.0 | целостность зеркал: missing / orphan / collision / протухшее состояние; обходит все подключённые модули
sync | sync:diff | diff | скрипт | sync_audit.py --drift | 1.9.1 | дрейф: источник изменился после того, как знание проверили
sync | sync:jira-status | — | скрипт | jira_status.py | 1.9.9 | обратный поток: статусы задач → кандидаты в `req_status`, задачи без требований, связи по упоминаниям

kb | kb:build | build | скрипт+модель | build_plan.py | 1.0.0 | извлечение карточек: план, партии и учёт — скриптом, само извлечение — моделью; `--slice` режет источник на секции, `--card` собирает карточку из них (текст переносит скрипт), `--reopen` и `--thin` возвращают в план недоразобранное
kb | kb:ingest-office | — | скрипт | office_ingest.py | 1.5.0 | docx/pdf/xlsx/pptx из Raw/ → markdown-транскрипты рядом с оригиналом
kb | kb:ingest | ingest, ingest-raw, ingest-meeting, ingest-tz | модель | workflows.md | 1.0.0 | документ из Raw/ → карточки со ссылкой на первоисточник; вид входа определяется по документу: ТЗ → REQ с `tz_ref`, транскрипт встречи → резюме, DR, REQ и факты
kb | kb:queue | queue | скрипт | aurora_stats.py --queue | 1.3.0 | очередь верификации: что проверять первым по связям и попаданию в артефакты
kb | kb:verify | verify, promote | скрипт+модель | kb_verify.py | 1.8.0 | гейт imported/draft → verified: отбор человеком, запись скриптом; `verified` — верхний статус базы
kb | kb:repair | fix | скрипт | kb_fix.py --all | 1.3.0 | ремонт: битые ссылки, гомоглифы, легаси-frontmatter, поля вне схемы, заготовки под ссылки
kb | kb:dedupe | — | скрипт | kb_fix.py --dupes | 1.3.0 | двойники: поиск, пакетное слияние по правилу (`--merge-all`) и разбор одной пары (`--merge` «оставить» «убрать»)
kb | kb:split | split | скрипт | kb_fix.py --split | 1.62.0 | разрезать раздутую карточку по её заголовкам: части становятся атомарными карточками, а сама она — картой документа со ссылками на них
kb | kb:embed | embed | скрипт+модель | kb_embed.py | 1.65.0 | семантический индекс базы: вектора карточек для поиска по смыслу; индекс лежит вне git и пересобирается, тексты уходят на тот же шлюз, что и у агента
kb | kb:moc | moc | скрипт | kb_moc.py | 1.32.0 | карты содержания по группировкам (термины, понятия, роли, данные…) и список брошенных карточек
kb | kb:index | index | скрипт | kb_index.py | 1.9.4 | регенерация `_index.md` разделов; рукотворные не трогает, но отставшие называет находкой (код 1)
kb | kb:scrub | scrub | скрипт | kb_scrub.py | 1.9.6 | персональные данные: найти и закрыть маркерами; режим — `privacy.scrub`
kb | kb:schema | — | скрипт | kb_schema.py | 1.12.0 | версия схемы карточек (`schema_version`) и перевод базы между версиями по объявленной цепочке
kb | kb:supersede | supersede | скрипт | kb_supersede.py | 1.8.0 | заменить знание с историей: deprecated → `_archive`, ссылки переписываются
kb | kb:links | links, graph | скрипт | kb_graph.py | 1.19.0 | граф связей: ключи Requirement Yogi и номера историй; `--cards` переносит связи в `related:` карточек
kb | kb:map | map | скрипт | kb_graph.py --insights | 1.66.0 | что говорит граф: сообщества, доросшие до своей карты, мосты между темами и острова, до которых не дойти по ссылкам
kb | kb:reset | reset | скрипт | kb_reset.py | 1.24.0 | обнулить базу и собрать заново: сносит всё содержимое AuroraKnowledgeDB/, за её пределами не трогает ничего; `--keep-handmade` оставляет то, чего нет в источниках; откат — из git
kb | kb:lint | lint | скрипт | kb_lint.py | 1.0.0 | механические ошибки базы: ссылки, frontmatter, типы карточек, артефакты в знаниях, секреты
kb | kb:question | — | модель | workflows.md | 1.4.0 | завести вопрос к заказчику (Q-NNN): кому, что блокирует, срок
kb | kb:answer | — | модель | workflows.md | 1.4.0 | зафиксировать ответ: закрыть вопрос и разнести знание в REQ/спеку/DR
kb | kb:decide | decide | модель | workflows.md | 1.0.0 | оформить Decision Record (+supersede старой DR)
kb | kb:garden | garden | скрипт+модель | workflows.md | 1.0.0 | еженедельная гигиена: чеклист из четырёх скриптов, разбор — человеком

ctx | ctx:context | context | скрипт | ctx_pack.py | 1.8.0 | context pack: отбор, фильтр статусов, шапки доверия, запись в `usage.log`
ctx | ctx:ask | ask | модель | workflows.md | 1.0.0 | ответ по базе с цитатами; «почему не X» — включая отклонённые DR
ctx | ctx:eval | eval | модель | workflows.md | 1.0.0 | регрессионный прогон golden questions после синков и миграций
ctx | ctx:retro | retro | модель | workflows.md | 1.0.0 | выученные уроки: чего база не знала, когда мы ошиблись

make | make:kinds | kinds | скрипт | make_kinds.py | 1.69.0 | реестр артефактов проекта: какой шаблон брать и куда класть результат; объявляется в aurora.config.yaml, читается ассистентом через MCP
make | make:create | create | модель | workflows.md | 1.1.0 | артефакт в `Artifacts/<тип>/` — только стандартный тип из conventions.md
make | make:review | review | модель | workflows.md | 1.0.0 | проверка качества артефакта против базы знаний
make | make:spec | spec | модель | workflows.md | 1.0.0 | спецификация фичи из REQ и verified-знаний (SDD)
make | make:spec-pack | spec-pack | скрипт | spec_pack.py | 1.9.4 | бандл спеки: основания, DR, аббревиатуры, DoR-риски — самодостаточный файл
make | make:validate | validate | модель | workflows.md | 1.0.0 | сверить реализацию и тесты подрядчика со сценариями спеки
make | make:assemble | assemble | модель | workflows.md | 1.0.0 | собрать поставляемый документ (ОПЗ/ПМИ/РП) из базы по шаблону

ship | ship:publish | publish | скрипт | publish_doc.py | 1.9.6 | артефакт → generated-страница Confluence; карточки знаний наружу не идут
ship | ship:export | export | скрипт | ship_doc.py --export docx | 1.5.0 | поставляемый документ → docx/pdf (pandoc, фирменный шаблон)
ship | ship:release | release | скрипт | ship_doc.py --release | 1.9.1 | заморозить переданную версию: снапшот, коммит базы, дата
ship | ship:acceptance | — | модель | workflows.md | 1.4.0 | результаты приёмки и разбор замечаний заказчика

ops | ops:stats | status, stats | скрипт | aurora_stats.py | 1.3.0 | дашборд здоровья базы: статусы, риски, метрики
ops | ops:impact | impact | скрипт | kb_trace.py --impact | 1.8.0 | что зависит от карточки; `--explain` — на чём собран документ
ops | ops:trace | trace | скрипт | kb_trace.py --requirements | 1.0.0 | трассировка: пункт ТЗ → REQ → SPEC → Jira → AC → ПМИ → приёмка
ops | ops:questions | — | скрипт+модель | workflows.md | 1.4.0 | реестр вопросов: открытые, просроченные, что блокируют
ops | ops:report | report | скрипт | report_analyst.py | 1.78.0 | дашборд эффективности аналитиков: недельная активность по Jira и Confluence, переходы задач; настройки — в секции reports: конфига

agent | agent:aliases | — | скрипт+модель | agent_runner.py --task aliases | 1.57.0 | агент разбирает конфликты синонимов: уточняет там, где карточки разные, и откладывает человеку дубли; правит только через команды движка
agent | agent:build | — | скрипт+модель | agent_runner.py --task build | 1.58.0 | агент разбирает партию источников на карточки: раскадровка, границы тем, имена, отметка о разборе; тело карточек переносит движок, а не модель; `--until-done` разбирает план целиком партиями (первичная сборка, часы)
agent | agent:ask | — | скрипт+модель | agent_runner.py --task ask | 1.63.0 | спросить базу своими словами: движок собирает контекст, модель отвечает только по карточкам и ставит ссылку на каждое утверждение; ответ проверяет Момус (роль qa) и разбор ссылок по базе; разговор пишется в `meta/ask/` и уходит в git с базой, `--thread` продолжает его уточняющим вопросом
agent | agent:ping | — | скрипт | agent_core.py --ping | 1.56.0 | встроенный агент: проверить цепочку моделей — каждый бэкенд живым запросом, пустой ответ считается отказом

dev | dev:qa-list | — | скрипт | dev_qa.py --list | 1.51.0 | QA движка: какие есть кейсы и сценарии, что закрыто автотестом, какие кейсы не гоняются ни разу
dev | dev:qa-check | — | скрипт | dev_qa.py --check | 1.51.0 | целостность реестра QA: дубли номеров, ссылки на несуществующие кейсы, отставшие версии
dev | dev:qa-gap | — | скрипт+модель | dev_qa.py --gap | 1.51.0 | что изменено в коде и чем покрыто; решение «автотест или кейс» принимает модель
dev | dev:qa-cover | — | скрипт+модель | dev_qa.py --cover | 1.53.0 | покрыть сделанное: таблица покрытия и готовое задание ассистенту — дополнить автотесты, кейсы и сценарии
dev | dev:qa-run | — | скрипт+модель | dev_qa.py --run | 1.51.0 | прогон сценария с записью журнала: автотесты, чек-лист шагов, отчёт в Development/QA/runs/
dev | dev:qa-new | — | скрипт | dev_qa.py --new | 1.51.0 | завести тест-кейс или сценарий из шаблона со следующим свободным номером
